module,gene_symbol,module_class
HALLMARK_INFLAMMATORY_RESPONSE,Il18rap,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Il1a,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Il1b,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Il1r1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Il2rb,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Il4ra,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Il6,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Il7r,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Inhba,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Irak2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Irf1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Irf7,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Itga5,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Itgb3,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Itgb8,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Kcna3,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Kcnj2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Kcnmb2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Kif1b,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Klf6,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Lamp3,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Lck,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Lcp2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Ldlr,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Lif,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Lpar1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Lta,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Ly6e,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Lyn,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Marco,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Mefv,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Mep1a,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Met,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Mmp14,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Msr1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Mxd1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Myc,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Nampt,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Ndp,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Nfkb1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Nfkbia,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Nlrp3,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Nmi,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Nmur1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Nod2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Npffr2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Olr1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Oprk1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Osm,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Osmr,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,P2rx4,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,P2rx7,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,P2ry2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Pcdh7,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Pde4b,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Pdpn,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Pik3r5,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Plaur,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Prok2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Psen1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Ptafr,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Ptger2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Ptger4,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Ptgir,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Ptpre,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Pvr,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Raf1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Rasgrp1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Rela,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Rgs1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Rgs16,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Rhog,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Ripk2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Rnf144b,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Ros1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Rtp4,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Scarf1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Scn1b,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Sele,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Selenos,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Sell,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Sema4d,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Serpine1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Sgms2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Slamf1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Slc11a2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Slc1a2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Slc28a2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Slc28a2b,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Slc31a1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Slc31a2,inflammatory
