gene_name,selected_probe_id,GSM2510565,GSM2510566,GSM2510567,GSM2510568,GSM2510569,GSM2510570,GSM2510571,GSM2510572,GSM2510573,GSM2510574,GSM2510575,GSM2510576
Serpinf1,A_52_P35048,2.997426363,2.958243734,2.724501351,2.879143601,2.930863004,3.007023272,3.011855381,2.770723533,2.436373468,2.782122305,2.629935131,3.203815493
Serpinf2,A_55_P1956497,-6.391259021,-6.744139583,-7.064819132,-6.22155736,-6.875568639,-6.816690742,-6.399943895,-6.785205218,-6.521728819,-6.430124584,-6.603062045,-6.565092415
Serping1,A_55_P1992889,-0.048425628,0.083429042,-0.167964537,-0.055868663,-0.107921882,-0.02347958,0.180992144,-0.190853857,-0.599468985,-0.217848219,-0.19746033,0.12696569
Serpini1,A_52_P220573,3.868700803,3.606035895,4.043816039,3.40308956,3.75229515,3.549577004,3.369146291,3.698606849,3.737104746,3.565654603,3.6487489,3.675260707
Sertad1,A_51_P436878,0.218154013,0.200076247,-0.328252059,-0.170323692,-0.157383716,-0.042359521,-0.411613016,-0.371076834,-0.110933749,-0.806601852,-0.230289426,-0.088060719
Sertad2,A_51_P448946,0.385580164,0.496147858,0.087072494,0.21411997,0.197931101,0.204071314,0.093718067,0.218379517,0.198163929,0.023971304,0.273512196,0.527072478
Sertad3,A_52_P71105,-0.475380218,-0.500423004,-0.826520048,-0.648396042,-0.71465263,-0.818208207,-0.565969289,-0.858304569,-0.926045452,-0.521932507,-0.826576598,-0.584663101
Sertad4,A_52_P285024,0.215160539,0.226699617,0.180861131,0.171175769,-0.248487466,-0.147078981,-0.223018457,-0.230382338,-0.655118844,-0.181302412,-0.22327113,0.016227462
Sertm1,A_52_P265051,1.440765735,1.730525518,1.473602373,1.400160669,1.223422843,0.808241751,1.047777406,1.274798799,1.289061186,1.092891331,1.338444432,1.216102258
Sesn1,A_55_P1991475,1.943907041,1.821387984,1.921466629,1.437935814,1.895914672,1.717218363,1.67228774,1.901515328,1.577822502,1.393521313,1.710072675,1.923629351
