"module","module_class","sample_id","group","module_score_mean_zscore","detected_genes","total_module_genes","coverage_pct"
"MICROGLIA_ACTIVATION_CUSTOM","inflammatory","GSM2510565","Control",0.263834926385863,22,23,95.6521739130435
"MICROGLIA_ACTIVATION_CUSTOM","inflammatory","GSM2510566","Control",0.66903268847859,22,23,95.6521739130435
"MICROGLIA_ACTIVATION_CUSTOM","inflammatory","GSM2510567","Control",-0.0546198924647935,22,23,95.6521739130435
"MICROGLIA_ACTIVATION_CUSTOM","inflammatory","GSM2510568","Control",-0.803138261849794,22,23,95.6521739130435
"MICROGLIA_ACTIVATION_CUSTOM","inflammatory","GSM2510569","Control",0.211675028519042,22,23,95.6521739130435
"MICROGLIA_ACTIVATION_CUSTOM","inflammatory","GSM2510570","Control",-0.0986842908242417,22,23,95.6521739130435
"MICROGLIA_ACTIVATION_CUSTOM","inflammatory","GSM2510571","POCD",-0.407524706012848,22,23,95.6521739130435
"MICROGLIA_ACTIVATION_CUSTOM","inflammatory","GSM2510572","POCD",0.0814778730159905,22,23,95.6521739130435
"MICROGLIA_ACTIVATION_CUSTOM","inflammatory","GSM2510573","POCD",-0.359002420016001,22,23,95.6521739130435
"MICROGLIA_ACTIVATION_CUSTOM","inflammatory","GSM2510574","POCD",-0.415518401104597,22,23,95.6521739130435
"MICROGLIA_ACTIVATION_CUSTOM","inflammatory","GSM2510575","POCD",0.0389789973671254,22,23,95.6521739130435
"MICROGLIA_ACTIVATION_CUSTOM","inflammatory","GSM2510576","POCD",0.873488458505666,22,23,95.6521739130435
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","mitochondrial","GSM2510565","Control",1.04382034786522,139,157,88.5350318471338
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","mitochondrial","GSM2510566","Control",0.669908381034857,139,157,88.5350318471338
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","mitochondrial","GSM2510567","Control",0.396454721287915,139,157,88.5350318471338
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","mitochondrial","GSM2510568","Control",-0.638118955253741,139,157,88.5350318471338
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","mitochondrial","GSM2510569","Control",0.636257612074975,139,157,88.5350318471338
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","mitochondrial","GSM2510570","Control",-0.0875405434839752,139,157,88.5350318471338
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","mitochondrial","GSM2510571","POCD",-1.36537334300771,139,157,88.5350318471338
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","mitochondrial","GSM2510572","POCD",-0.117086080869616,139,157,88.5350318471338
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","mitochondrial","GSM2510573","POCD",-0.366997986667949,139,157,88.5350318471338
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","mitochondrial","GSM2510574","POCD",-0.633179863326541,139,157,88.5350318471338
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","mitochondrial","GSM2510575","POCD",-0.176206802881108,139,157,88.5350318471338
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","mitochondrial","GSM2510576","POCD",0.638062513227675,139,157,88.5350318471338
"RANDOM_CONTROL_200","negative_control","GSM2510565","Control",0.400220550916498,200,200,100
"RANDOM_CONTROL_200","negative_control","GSM2510566","Control",0.0913063362812623,200,200,100
"RANDOM_CONTROL_200","negative_control","GSM2510567","Control",0.0148568188140267,200,200,100
"RANDOM_CONTROL_200","negative_control","GSM2510568","Control",-0.386701747232938,200,200,100
"RANDOM_CONTROL_200","negative_control","GSM2510569","Control",0.199308570233928,200,200,100
"RANDOM_CONTROL_200","negative_control","GSM2510570","Control",0.0464980067714108,200,200,100
"RANDOM_CONTROL_200","negative_control","GSM2510571","POCD",-0.479603969518367,200,200,100
"RANDOM_CONTROL_200","negative_control","GSM2510572","POCD",0.0681724551217699,200,200,100
"RANDOM_CONTROL_200","negative_control","GSM2510573","POCD",-0.0543561611515508,200,200,100
"RANDOM_CONTROL_200","negative_control","GSM2510574","POCD",-0.198811209678621,200,200,100
"RANDOM_CONTROL_200","negative_control","GSM2510575","POCD",-0.0957009649466787,200,200,100
"RANDOM_CONTROL_200","negative_control","GSM2510576","POCD",0.39481131438926,200,200,100
